business_name,category,phone,email,website,state,city,suburb,postcode,lead_score,tier,first_seen_at
BILT CONSTRUCTIONS PTY LTD,builder,,,,ACT,Canberra,,2615,55,MEDIUM,2026-05-04 15:07:06.688648+00:00
BIRRIWA CONSTRUCTIONS,builder,,,,ACT,Canberra,,2602,55,MEDIUM,2026-05-04 16:46:06.788557+00:00
BISA CONSTRUCTIONS PTY LTD,builder,,,,ACT,Canberra,,2603,55,MEDIUM,2026-05-04 15:07:06.688648+00:00
BIZBUILDERS Australia,builder,,,,ACT,Canberra,,2604,55,MEDIUM,2026-05-04 15:07:06.688648+00:00
BK CONSTRUCTION SOLUTIONS PTY LTD,builder,,,,ACT,Canberra,,2615,55,MEDIUM,2026-05-04 16:46:06.788557+00:00
BLACK DIAMOND PAINTING PTY LTD,painter,,,,ACT,Canberra,,2911,55,MEDIUM,2026-05-04 15:07:06.688648+00:00
BLAIR PLUMBING & DRAINAGE PTY LTD,plumbing,,,,ACT,Canberra,,2615,55,MEDIUM,2026-05-04 15:07:06.688648+00:00
BLE CONSTRUCTIONS PTY LTD,builder,,,,ACT,Canberra,,2904,55,MEDIUM,2026-05-04 15:07:06.688648+00:00
BLISS REFRIGERATION & AIR CONDITIONING PTY LTD,air conditioning,,,,ACT,Canberra,,2611,55,MEDIUM,2026-05-04 15:07:06.688648+00:00
BLUE RAIN ELECTRICAL PTY LTD,electrician,,,,ACT,Canberra,,2904,55,MEDIUM,2026-05-04 16:46:06.788557+00:00
BNV ELECTRICAL,electrician,,,,ACT,Canberra,,2602,55,MEDIUM,2026-05-04 15:07:06.688648+00:00
BOLAND PLUMBING PTY LTD,plumbing,,,,ACT,Canberra,,2914,55,MEDIUM,2026-05-04 15:07:06.688648+00:00
BOWMAN BUILDING & CONSTRUCTION PTY LIMITED,builder,,,,ACT,Canberra,,2914,55,MEDIUM,2026-05-04 15:07:06.688648+00:00
BRADAMS ELECTRICAL SERVICES PTY LTD,electrician,,,,ACT,Canberra,,2902,55,MEDIUM,2026-05-04 15:07:06.688648+00:00
BRIDE ELECTRICAL PTY LTD,electrician,,,,ACT,Canberra,,2914,55,MEDIUM,2026-05-04 16:46:06.788557+00:00
BRIGHT PATH Z ELECTRICAL PTY LTD,electrician,,,,ACT,Canberra,,2914,55,MEDIUM,2026-05-04 15:07:06.688648+00:00
BRIO CONSTRUCTIONS PTY LTD,builder,,,,ACT,Canberra,,2902,55,MEDIUM,2026-05-04 15:07:06.688648+00:00
BROWNIES ELECTRICAL SERVICES PTY LTD,electrician,,,,ACT,Canberra,,2911,55,MEDIUM,2026-05-04 15:07:06.688648+00:00
BUILDER STORE PTY LTD,builder,,,,ACT,Canberra,,2911,55,MEDIUM,2026-05-04 15:07:06.688648+00:00
BUILDERS SUPPLIES CANBERRA PTY. LIMITED,builder,,,,ACT,Canberra,,2609,55,MEDIUM,2026-05-04 15:07:06.688648+00:00
BUILDING & ELECTRICAL SUPPLIES PTY LTD,electrician,,,,ACT,Canberra,,2606,55,MEDIUM,2026-05-04 15:07:06.688648+00:00
BUNGAREE CONSTRUCTIONS PTY LIMITED,builder,,,,ACT,Canberra,,2611,55,MEDIUM,2026-05-04 15:07:06.688648+00:00
BYCOL PLUMBING,plumbing,,,,ACT,Canberra,,2906,55,MEDIUM,2026-05-04 15:07:06.688648+00:00
Bill & Eddy Renovations,builder,,,,ACT,Canberra,,2913,55,MEDIUM,2026-05-04 15:07:06.688648+00:00
Black Cabinet,kitchen,,,,ACT,Canberra,,2600,55,MEDIUM,2026-05-04 16:46:06.788557+00:00
Bookaelectrician,electrician,,,,ACT,Canberra,,2606,55,MEDIUM,2026-05-04 16:46:06.788557+00:00
Boundless Construction ACT,builder,,,,ACT,Canberra,,2618,55,MEDIUM,2026-05-04 15:07:06.688648+00:00
Brawn Electrical Technology,electrician,,,,ACT,Canberra,,2615,55,MEDIUM,2026-05-04 15:07:06.688648+00:00
Bruce Hick Electrical & Data Pty Ltd,electrician,,,,ACT,Canberra,,2606,55,MEDIUM,2026-05-04 15:07:06.688648+00:00
C.G. COMMERCIAL CONSTRUCTIONS PTY LIMITED,builder,,,,ACT,Canberra,,2911,55,MEDIUM,2026-05-04 16:46:06.788557+00:00
CABLE CRUSADER ELECTRICAL & CONTROLS PTY LTD,electrician,,,,ACT,Canberra,,2615,55,MEDIUM,2026-05-04 16:46:06.788557+00:00
CANBERRA BUILDERS OZ PTY LTD,builder,,,,ACT,Canberra,,2914,55,MEDIUM,2026-05-04 15:07:06.688648+00:00
CANBERRA BUILDERS PTY LTD,builder,,,,ACT,Canberra,,2914,55,MEDIUM,2026-05-04 15:07:06.688648+00:00
CANBERRA ELECTRICAL SOLUTIONS PTY LTD,electrician,,,,ACT,Canberra,,2913,55,MEDIUM,2026-05-04 16:46:06.788557+00:00
CANBERRA HOT WATER PTY LTD,plumbing,,,,ACT,Canberra,,2605,55,MEDIUM,2026-05-04 16:46:06.788557+00:00
CANBERRA PLUMBING AND BLOCKED DRAINS,plumbing,,,,ACT,Canberra,,2602,55,MEDIUM,2026-05-04 15:07:06.688648+00:00
CANBERRA PREMIER BUILDERS PTY LTD,builder,,,,ACT,Canberra,,2604,55,MEDIUM,2026-05-04 15:07:06.688648+00:00
CAPITAL ALIGNED CONSTRUCTIONS PTY LTD,builder,,,,ACT,Canberra,,2615,55,MEDIUM,2026-05-04 15:07:06.688648+00:00
CAPITAL CARPENTER PTY LTD,builder,,,,ACT,Canberra,,2617,55,MEDIUM,2026-05-04 16:46:06.788557+00:00
CAPITAL CIVIL CONSTRUCTION MANAGEMENT PTY LIMITED,builder,,,,ACT,Canberra,,2602,55,MEDIUM,2026-05-04 15:07:06.688648+00:00
CAPITAL CONSTRUCTION PROJECTS PTY LTD,builder,,,,ACT,Canberra,,2913,55,MEDIUM,2026-05-04 15:07:06.688648+00:00
CAPITAL CONSTRUCTION TRAINING PTY LTD,builder,,,,ACT,Canberra,,2615,55,MEDIUM,2026-05-04 15:07:06.688648+00:00
CAPITAL ELECTRICAL & SOLAR SERVICES,electrician,,,,ACT,Canberra,,2914,55,MEDIUM,2026-05-04 15:07:06.688648+00:00
CAPITAL MANHOLE AND SUMP BUILDERS PTY LTD,builder,,,,ACT,Canberra,,2913,55,MEDIUM,2026-05-04 15:07:06.688648+00:00
CAPITAL METAL ROOFING PTY LTD,roofer,,,,ACT,Canberra,,2615,55,MEDIUM,2026-05-04 16:46:06.788557+00:00
CAPITAL NEW BUILDS AND CONSTRUCTIONS PTY LTD,builder,,,,ACT,Canberra,,2617,55,MEDIUM,2026-05-04 16:46:06.788557+00:00
CAPITAL PLUMBING AND DRAINS PTY LTD,plumbing,,,,ACT,Canberra,,2615,55,MEDIUM,2026-05-04 15:07:06.688648+00:00
CAPITAL PLUMBING AND GASFITTING PTY LTD,plumbing,,,,ACT,Canberra,,2905,55,MEDIUM,2026-05-04 15:07:06.688648+00:00
CAPITAL PLUMBING SPECIALISTS,plumbing,,,,ACT,Canberra,,2906,55,MEDIUM,2026-05-04 15:07:06.688648+00:00
CAPITAL RENOVATIONS HOUSE TRADES PTY LTD,builder,,,,ACT,Canberra,,2617,55,MEDIUM,2026-05-04 16:46:06.788557+00:00
CAPITAL SOLAR MAINTENANCE PTY LTD,solar,,,,ACT,Canberra,,2617,55,MEDIUM,2026-05-04 15:07:06.688648+00:00
CAPPED ELECTRICAL SERVICES PTY LTD.,electrician,,,,ACT,Canberra,,2913,55,MEDIUM,2026-05-04 15:07:06.688648+00:00
CASSIA CONSTRUCTIONS PTY LIMITED,builder,,,,ACT,Canberra,,2611,55,MEDIUM,2026-05-04 15:07:06.688648+00:00
CAVIAR CONSTRUCTIONS PTY LTD,builder,,,,ACT,Canberra,,2905,55,MEDIUM,2026-05-04 15:07:06.688648+00:00
CBR BUILDING & CONSTRUCTION NSW,builder,,,,ACT,Canberra,,2913,55,MEDIUM,2026-05-04 15:07:06.688648+00:00
CBR BUILDING & CONSTRUCTION PTY LTD,builder,,,,ACT,Canberra,,2913,55,MEDIUM,2026-05-04 15:07:06.688648+00:00
CBR PAINTERS & DECORATORS PTY LTD,painter,,,,ACT,Canberra,,2615,55,MEDIUM,2026-05-04 15:07:06.688648+00:00
CHAMPION ROOFING & CO PTY LTD,roofer,,,,ACT,Canberra,,2615,55,MEDIUM,2026-05-04 16:46:06.788557+00:00
CHASE CONSTRUCTION (AUST) PTY LIMITED,builder,,,,ACT,Canberra,,2604,55,MEDIUM,2026-05-04 15:07:06.688648+00:00
CITY DRAINERS PTY LTD,plumbing,,,,ACT,Canberra,,2617,55,MEDIUM,2026-05-04 15:07:06.688648+00:00
CIVITEC CONSTRUCTION,builder,,,,ACT,Canberra,,2602,55,MEDIUM,2026-05-04 15:07:06.688648+00:00
CJM ROOFING CONSTRUCTION PTY LTD,builder,,,,ACT,Canberra,,2905,55,MEDIUM,2026-05-04 15:07:06.688648+00:00
